Reference,Number of ships involved,Ships involved,SOLAS status,Flag Administrations,Ship types,Occurrence date and time,Casualty event,Casualty severity,Coordinates,Place,Location,Number of investigation reports,Administrations submitting investigation reports
"C0001922","1","JEANNIE (IMO 7366104)","JEANNIE (IMO 7366104): ","Greece","Bulk Dry","1997-05-10 00:00","","Marine casualty","","Lotbinière, Québec","","0",""
"C0007316","1","WESTERN WINNER (IMO 8029258)","WESTERN WINNER (IMO 8029258): ","Panama","","1997-05-08 22:10","","Marine incident","34° 03.20' S 137° 03.20' E","Tiparra Reef, Spencer Gulf, South Australia","","1","Unknown"
"C0001983","2","ASIA STAR (IMO 8007987), NAVIGATOR (IMO 8402709)","ASIA STAR (IMO 8007987): , NAVIGATOR (IMO 8402709): ","Singapore, Cyprus","Oil Tanker, Bulk Dry","1997-05-08 00:00","","Marine casualty","","Off Busan","","0",""
"C0001919","2","MING HUI (IMO 7374450), SOON LI FA (IMO 6927975)","MING HUI (IMO 7374450): , SOON LI FA (IMO 6927975): ","China, Panama","Chemical Tanker, General Cargo","1997-05-07 00:00","","Very serious marine casualty","","South China Sea","","0",""
"C0002169","1","VENI (IMO 7503398)","VENI (IMO 7503398): ","Cyprus","Oil Tanker","1997-05-06 00:00","","Marine casualty","","Berendrechtsluis, Antwerp","","0",""
"C0001829","1","CARL METZ (IMO 7920352)","CARL METZ (IMO 7920352): ","Saint Vincent and the Grenadines","General Cargo","1997-05-05 00:00","","Marine casualty","","Off Dragonera, Khyira","","0",""
"C0001938","1","KING CRUISER (IMO 6925599)","KING CRUISER (IMO 6925599): ","Thailand","Passenger","1997-05-04 00:00","","Very serious marine casualty","","10 nm off Phi Phi Isl., Andaman Sea","","1","Thailand"
"C0001888","1","ROLF D. (IMO 0      )","ROLF D. (IMO 0      ): ","Antigua and Barbuda","General Cargo","1997-05-03 00:00","","Marine casualty","","","","0",""
"C0002156","2","CADOT (IMO 0      ), TOMIS FUTURE (IMO 8607957)","CADOT (IMO 0      ): , TOMIS FUTURE (IMO 8607957): ","Unknown, Malta","Non-ship structures, Bulk Dry","1997-05-03 00:00","","Marine casualty","","Mississippi","","0",""
"C0001936","1","KENT ATLANTIC (IMO 7304895)","KENT ATLANTIC (IMO 7304895): ","Norway","Passenger/Ro-Ro Cargo","1997-04-29 00:00","","Marine casualty","","Saint John","","0",""
"C0001909","2","SAMJIN SUN (IMO 8317033), SEMO EXPRESS FERRY NO.3 (IMO 0      )","SAMJIN SUN (IMO 8317033): , SEMO EXPRESS FERRY NO.3 (IMO 0      ): ","Republic of Korea, Republic of Korea","Chemical Tanker, Passenger","1997-04-29 00:00","","Marine casualty","","Off Maemul, Republic of Korea","","0",""
"C0001842","2","CITY OF BARCELONA (IMO 9046368), MOUSSE (IMO 7531931)","CITY OF BARCELONA (IMO 9046368): , MOUSSE (IMO 7531931): ","Isle of Man (United Kingdom), France","Passenger/Ro-Ro Cargo, Fish Catching","1997-04-28 00:00","","Marine casualty","","","","0",""
"C0001834","1","CHEUK YANG (IMO 5200215)","CHEUK YANG (IMO 5200215): ","Republic of Korea","Non-ship structures","1997-04-27 00:00","","Very serious marine casualty","","Off Chindo","","0",""
"C0001865","1","OOCL EHIME (IMO 8717776)","OOCL EHIME (IMO 8717776): ","Panama","Container","1997-04-26 00:00","","Marine casualty","","450 metres from Western Ikulbae lighthouse","","0",""
"C0007317","1","UNISINA (IMO 8919075)","UNISINA (IMO 8919075): ","Liberia","","1997-04-25 00:40","","Marine casualty","","Off the southern coast of New South Wales","","1","Unknown"
"C0001949","1","LENNE REGIS (IMO 5404770)","LENNE REGIS (IMO 5404770): ","United Kingdom","Dredging","1997-04-23 23:00","","Very serious marine casualty","14° 55.00' N 24° 31.00' W","Vale de Cavaleiros, Cape Verde Islands","Port","1","United Kingdom"
"C0002152","1","TAMA ANDINA (IMO 8001438)","TAMA ANDINA (IMO 8001438): ","Panama","Chemical Tanker","1997-04-23 00:00","","Marine casualty","","Matarani","","0",""
"C0001862","1","OCEAN TRADER (IMO 7328774)","OCEAN TRADER (IMO 7328774): ","Singapore","Oil Tanker","1997-04-23 00:00","","Very serious marine casualty","","Pulau Pesek","","1","Singapore"
"C0001837","1","DINARA (IMO 7334046)","DINARA (IMO 7334046): ","Malta","Bulk Dry","1997-04-23 00:00","","Marine casualty","","Iroquois","","0",""
"C0004291","1","EMERALD EMPRESS (IMO 0      )","EMERALD EMPRESS (IMO 0      ): ","Bahamas","Passenger","1997-04-23 00:00","","Marine casualty","","St. Michael's","","0",""
"C0001974","1","MINOAN HILL (IMO 7314084)","MINOAN HILL (IMO 7314084): ","Panama","Bulk Dry","1997-04-22 00:00","","Marine casualty","","Drapetzona","","0",""
"C0001851","1","TAHIR KIRAN (IMO 7304508)","TAHIR KIRAN (IMO 7304508): ","Türkiye","Bulk Dry","1997-04-20 00:00","","Marine casualty","","","","0",""
"C0001986","1","NATALIE (IMO 7052923)","NATALIE (IMO 7052923): ","Saint Vincent and the Grenadines","General Cargo","1997-04-19 00:00","","Marine casualty","","Off Mumbai","","0",""
"C0004321","1","GULF'S STREAM (IMO 8819756)","GULF'S STREAM (IMO 8819756): ","Belize","Oil Tanker","1997-04-19 00:00","","Very serious marine casualty","","Of Tortuga Island","","0",""
"C0004326","1","HAKUSAN MARU (IMO 6508729)","HAKUSAN MARU (IMO 6508729): ","Japan","Dredging","1997-04-18 00:00","","Marine casualty","","2 km off Niigata Port, Japan","","0",""
"C0002581","1","VENUS (IMO 7517090)","VENUS (IMO 7517090): ","Liberia","Bulk Dry","1997-04-17 00:00","","Marine incident","","Becancour Harbour, St.Laurence River, Quebec","","0",""
"C0004312","2","GOLDEN ARROW (IMO 8419881), MANEI MARU NO.3 (IMO 0      )","GOLDEN ARROW (IMO 8419881): , MANEI MARU NO.3 (IMO 0      ): ","Panama, Japan","General Cargo, General Cargo","1997-04-16 00:00","","Marine casualty","","Fukuyama","","0",""
"C0004325","2","HAI YANG (IMO 9124421), MAN BOON (IMO 8500379)","HAI YANG (IMO 9124421): , MAN BOON (IMO 8500379): ","China, Hong Kong, China","Passenger, Passenger/Ro-Ro Cargo","1997-04-15 00:00","","Marine casualty","","Near Brothers Isl., Hong Kong, China","","0",""
"C0001873","1","PAMPERO (IMO 5059513)","PAMPERO (IMO 5059513): ","Saint Vincent and the Grenadines","Oil Tanker","1997-04-14 00:00","","Very serious marine casualty","","10 nm of Havana","","0",""
"C0007312","1","WAMBIRI (IMO 8515518)","WAMBIRI (IMO 8515518): ","Australia","","1997-04-13 05:55","","Marine casualty","","Fremantle Western Australia","","1","Unknown"
"C0001823","1","BOREAS (IMO 7361788)","BOREAS (IMO 7361788): ","Malta","Bulk Dry","1997-04-13 00:00","","Marine casualty","","Off Bermuda","","0",""
"C0004305","2","FLORA (IMO 9071698), FORMOSA SIX (IMO 9110626)","FLORA (IMO 9071698): , FORMOSA SIX (IMO 9110626): ","Cyprus, Liberia","Bulk Dry, Chemical Tanker","1997-04-11 20:25","","Marine casualty","28° 51.20' N 89° 26.00' W","Mississippi","Port approach","0",""
"C0001806","1","ARAD (IMO 0      )","ARAD (IMO 0      ): ","Romania","General Cargo","1997-04-11 00:00","","Marine casualty","","Novorossisk","","0",""
"C0001934","1","KAYAX (IMO 9000924)","KAYAX (IMO 9000924): ","Panama","Bulk Dry","1997-04-11 00:00","","Marine casualty","","Novorossisk","","0",""
"C0001887","1","RINOS (IMO 7627780)","RINOS (IMO 7627780): ","Cyprus","General Cargo","1997-04-09 00:00","","Marine casualty","","Apapa-Lagos","","0",""
"C0004323","1","HAI BIN (IMO 9008304)","HAI BIN (IMO 9008304): ","China","Passenger","1997-04-09 00:00","","Marine casualty","","Off Island of Shek Kwu Chau","","0",""
"C0001945","1","LEE A. TREGURTHA (IMO 5385625)","LEE A. TREGURTHA (IMO 5385625): ","United States","Bulk Dry","1997-04-07 00:00","","Marine casualty","","St. Mary's River","","0",""
"C0001828","1","CARIBBEAN SEA (IMO 0      )","CARIBBEAN SEA (IMO 0      ): ","Venezuela (Bolivarian Republic of)","General Cargo","1997-04-07 00:00","","Very serious marine casualty","","","","0",""
"C0001935","2","KEKOVA (IMO 7017507), VASILIOS VII (IMO 5175484)","KEKOVA (IMO 7017507): , VASILIOS VII (IMO 5175484): ","Türkiye, Greece","Bulk Dry, Oil Tanker","1997-04-04 00:00","","Marine casualty","","Sea of Marmara","","0",""
"C0002161","1","TOUBKAL (IMO 8300482)","TOUBKAL (IMO 8300482): ","Morocco","General Cargo","1997-04-04 00:00","","Marine casualty","","Matarani","","0",""
"C0002168","2","KEVOKA (IMO 0      ), VASILIOS VII (IMO 5175484)","KEVOKA (IMO 0      ): , VASILIOS VII (IMO 5175484): ","Türkiye, Greece","Bulk Dry, Oil Tanker","1997-04-04 00:00","","Marine casualty","","","","0",""
"C0004295","1","ETTINA (IMO 0      )","ETTINA (IMO 0      ): ","Germany","General Cargo","1997-04-04 00:00","","Marine casualty","","Kiel","","0",""
"C0001860","1","O SUNG NO. 3 (IMO 8031859)","O SUNG NO. 3 (IMO 8031859): ","Republic of Korea","Oil Tanker","1997-04-03 00:00","","Very serious marine casualty","","60 km N.W. of Tsushima","","0",""
"C0001877","1","PERWIRA (IMO 7101695)","PERWIRA (IMO 7101695): ","Indonesia","Oil Tanker","1997-03-31 00:00","","Marine casualty","","Tanjung Priok","","0",""
"C0004292","1","ENALIOS PROTEUS (IMO 0      )","ENALIOS PROTEUS (IMO 0      ): ","Greece","Oil Tanker","1997-03-30 00:00","","Marine casualty","","Thorikos Bay","","0",""
"C0001897","2","ADITYA GAURAV (IMO 8309256), SAINT NECTARIOS (IMO 7433268)","ADITYA GAURAV (IMO 8309256): , SAINT NECTARIOS (IMO 7433268): ","India, Cyprus","Bulk Dry, General Cargo","1997-03-29 00:00","","Marine casualty","","Novorissisk roads","","0",""
"C0002048","2","JA YANG (IMO 8811132), LAI ZHOU NO.1 (IMO 0      )","JA YANG (IMO 8811132): , LAI ZHOU NO.1 (IMO 0      ): ","Panama, China","Non-ship structures, General Cargo","1997-03-29 00:00","","Marine casualty","","Hesaki lighthouse","","0",""
"C0001841","1","CITA (IMO 7605859)","CITA (IMO 7605859): ","Antigua and Barbuda","General Cargo","1997-03-26 00:00","","Very serious marine casualty","","Newfoundland Point, St Mary's","","2","Antigua and Barbuda; United Kingdom"
"C0001850","1","SUPERFERRY 7 (IMO 7920871)","SUPERFERRY 7 (IMO 7920871): ","Philippines","Passenger","1997-03-26 00:00","","Marine casualty","","Manila North Harbour, Philippines","","0",""
"C0001981","1","MYO HYANG SAN (IMO 8882129)","MYO HYANG SAN (IMO 8882129): ","Democratic People's Republic of Korea","General Cargo","1997-03-25 00:00","","Very serious marine casualty","","Off Iki Island, Nagasaki Pref.","","0",""
"C0001840","2","CIS BROVIG (IMO 8422034), ORIENTAL BAY (IMO 8803410)","CIS BROVIG (IMO 8422034): , ORIENTAL BAY (IMO 8803410): ","Norway, United Kingdom","General Cargo, Container","1997-03-24 00:00","","Marine casualty","","Elbe-Stade","","0",""
"C0001814","2","BANGLAL KALLOL (IMO 0      ), KOTA BERJAYA (IMO 7720879)","BANGLAL KALLOL (IMO 0      ): , KOTA BERJAYA (IMO 7720879): ","Bangladesh, Singapore","General Cargo, Container","1997-03-24 00:00","","Marine casualty","","Off Chittagong, Bangladesh","","0",""
"C0001830","2","APJ PRITI (IMO 7617228), CARNAC (IMO 8007999)","APJ PRITI (IMO 7617228): , CARNAC (IMO 8007999): ","India, France","Bulk Dry, Chemical Tanker","1997-03-22 00:00","","Marine casualty","","","","0",""
"C0004311","1","GOKALP I (IMO 0      )","GOKALP I (IMO 0      ): ","Türkiye","General Cargo","1997-03-22 00:00","","Very serious marine casualty","","Dardanelles","","0",""
"C0001910","1","SHAHIB (IMO 6726539)","SHAHIB (IMO 6726539): ","Maldives","General Cargo","1997-03-21 00:00","","Very serious marine casualty","","Arabian Sea, off Diu","","0",""
"C0001793","1","ALTAGRACE MARINE (IMO 7420534)","ALTAGRACE MARINE (IMO 7420534): ","Honduras","General Cargo","1997-03-16 00:00","","Very serious marine casualty","","Off Tolu","","0",""
"C0007301","1","RIVER EMBLEY (IMO 8018144)","RIVER EMBLEY (IMO 8018144): ","Australia","","1997-03-13 22:09","","Marine casualty","","Off Heath Reef, in the Great Barrier Reef","","1","Unknown"
"C0007489","1","AIKATERINI L (IMO 7610749)","AIKATERINI L (IMO 7610749): ","Cyprus","","1997-03-13 00:00","","Marine casualty","","Geraldton, Western Australia","","1","Australia"
"C0004322","1","HACI HILMI II (IMO 9014561)","HACI HILMI II (IMO 9014561): ","Türkiye","General Cargo","1997-03-11 00:00","","Marine casualty","","Porto Nogaro inland channel","","0",""
"C0001923","1","JOANNA V (IMO 7361805)","JOANNA V (IMO 7361805): ","Cyprus","Bulk Dry","1997-03-10 00:00","","Marine casualty","","60 nm of Odessa","","0",""
"C0001875","1","PERA (IMO 6928113)","PERA (IMO 6928113): ","Papua New Guinea","Passenger/Ro-Ro Cargo","1997-03-09 00:00","","Very serious marine casualty","","S.E. of C. St. George, New Ireland, Pap. N. Guinea","","0",""
"C0001965","1","OSCO STAR (IMO 8617029)","OSCO STAR (IMO 8617029): ","Australia","Oil Tanker","1997-03-09 00:00","","Marine casualty","","N. of Brisbane, Australia","","1","Unknown"
"C0004253","1","DISARFELL (IMO 8120947)","DISARFELL (IMO 8120947): ","Antigua and Barbuda","General Cargo","1997-03-09 00:00","","Very serious marine casualty","","100 nm of Hrnafjordur, Iceland","","1","Antigua and Barbuda"
"C0001902","1","SEA BOEKANIER (IMO 6810847)","SEA BOEKANIER (IMO 6810847): ","Belize","General Cargo","1997-03-08 00:00","","Very serious marine casualty","","18 nm of Nuevitas","","0",""
"C0007396","1","LODZ 2 (IMO 8302234)","LODZ 2 (IMO 8302234): ","Poland","General Cargo","1997-03-07 07:40","","Marine casualty","","Victoria Dock, Melbourne","","1","Unknown"
"C0002047","1","IRVING ARCTIC (IMO 7343592)","IRVING ARCTIC (IMO 7343592): ","Canada","Oil Tanker","1997-03-07 00:00","","Marine casualty","","","","0",""
"C0001904","1","SEA WIND (IMO 7128332)","SEA WIND (IMO 7128332): ","Sweden","Passenger","1997-03-05 00:00","","Marine casualty","","Stockholm Archipelago, Sweden","","1","Unknown"
"C0002171","1","VIKARTINDUR (IMO 9107801)","VIKARTINDUR (IMO 9107801): ","Germany","Container","1997-03-05 00:00","","Marine casualty","","100 nm S.E. of Reykjavik","","0",""
"C0001870","1","SAPPHIRE (IMO 6707832)","SAPPHIRE (IMO 6707832): ","Malta","General Cargo","1997-03-04 00:00","","Marine casualty","","","","0",""
"C0001907","1","SIMON FRASER (IMO 5328732)","SIMON FRASER (IMO 5328732): ","Canada","Non-ship structures","1997-03-03 00:00","","Marine casualty","","","","0",""
"C0001946","1","LENANEFT 2047 (IMO 0      )","LENANEFT 2047 (IMO 0      ): ","Russian Federation","Oil Tanker","1997-03-02 00:00","","Marine casualty","","Black Sea","","0",""
"C0002174","1","WEI NING NO.6 (IMO 0      )","WEI NING NO.6 (IMO 0      ): ","Belize","General Cargo","1997-03-01 00:00","","Marine casualty","","1.1 nm from Muroran","","0",""
"C0002377","1","MICO","MICO: ","Bahamas","General Cargo","1997-03-01 00:00","","Marine casualty","","","","0",""
"C0007705","1","SUPERSTAR GEMINI (IMO 9000687)","SUPERSTAR GEMINI (IMO 9000687): ","Malta","Passenger","1997-02-28 21:35","","Very serious marine casualty","","Lat 01 09'3    Long 103  42'5","","1","Panama"
"C0001931","2","KANGSON (IMO 7028295), MEI GUI HAI (IMO 7002306)","KANGSON (IMO 7028295): , MEI GUI HAI (IMO 7002306): ","Cambodia, China","General Cargo, ","1997-02-28 00:00","","Very serious marine casualty","","At the mouth of the Yangtze River","","0",""
"C0001857","1","NISSOS AMORGOS (IMO 8323472)","NISSOS AMORGOS (IMO 8323472): ","Greece","Oil Tanker","1997-02-28 00:00","","Marine incident","","Lake Maracaibo","","0",""
"C0001973","1","KURAKA (EX:MICO) (IMO 7627728)","KURAKA (EX:MICO) (IMO 7627728): ","Panama","General Cargo","1997-02-27 00:00","","Marine casualty","","","","0",""
"C0007510","1","CAPE ARNHEM (IMO 8701076)","CAPE ARNHEM (IMO 8701076): ","Malta","","1997-02-25 01:12","","Very serious marine casualty","","Off Gladstone","","1","Australia"
"C0001885","1","RENA (IMO 6610261)","RENA (IMO 6610261): ","Colombia","General Cargo","1997-02-25 00:00","","Very serious marine casualty","","Voyage from Puerto Limon to San Andres Island","","1","Colombia"
"C0001863","2","AMBER (IMO 7342823), ONCE (IMO 7377036)","AMBER (IMO 7342823): , ONCE (IMO 7377036): ","Singapore, France","Bulk Dry, Oil Tanker","1997-02-25 00:00","","Marine casualty","","Off Fos, France","","0",""
"C0001794","2","AMBER (IMO 7342823), ONCE (IMO 7377036)","AMBER (IMO 7342823): , ONCE (IMO 7377036): ","Singapore, France","Bulk Dry, Oil Tanker","1997-02-25 00:00","","Marine casualty","","Fos, France","","0",""
"C0001844","2","CONTI JORK (IMO 8908181), PRIDE OF SUFFOLK (IMO 7528661)","CONTI JORK (IMO 8908181): , PRIDE OF SUFFOLK (IMO 7528661): ","Germany, Gibraltar (United Kingdom)","Container, Passenger/Ro-Ro Cargo","1997-02-24 00:00","","Marine casualty","","Harwich","","0",""
"C0001886","1","RIG (IMO 7521584)","RIG (IMO 7521584): ","Italy","Towing / Pushing","1997-02-24 00:00","","Very serious marine casualty","","On voyage from Italy to Tanzania","","0",""
"C0001937","1","KINEI MARU NO. 18 (IMO 8508785)","KINEI MARU NO. 18 (IMO 8508785): ","Japan","General Cargo","1997-02-23 00:00","","Marine casualty","","Ohh Hirado Lighthouse, Nagasaki, Japan","","0",""
"C0007486","1","CLIPPER KAWA (IMO 7609673)","CLIPPER KAWA (IMO 7609673): ","Bahamas","","1997-02-22 08:15","","Very serious marine casualty","","Off Albany, Western Australia","","1","Australia"
"C0001963","1","MEDAWAR II (IMO 6812235)","MEDAWAR II (IMO 6812235): ","Belize","General Cargo","1997-02-22 00:00","","Marine casualty","","","","0",""
"C0006299","1","INISHFREE (IMO 8121379)","INISHFREE (IMO 8121379): ","Ireland","General Cargo","1997-02-21 03:10","","Very serious marine casualty","","Dowd's wharf, Newport, South Wales","","1","Ireland"
"C0004307","1","GALAPAGOS (IMO 6512108)","GALAPAGOS (IMO 6512108): ","Honduras","General Cargo","1997-02-20 00:00","","Very serious marine casualty","","170 nm S.E. of Kingston, Jamaica","","0",""
"C0001961","2","HONSHU (IMO 0      ), MAURO D'ALESIO (IMO 8004624)","HONSHU (IMO 0      ): , MAURO D'ALESIO (IMO 8004624): ","Cyprus, Antigua and Barbuda","Passenger/Ro-Ro Cargo, Oil Tanker","1997-02-20 00:00","","Marine casualty","","Changanso Pilot Station","","0",""
"C0001883","1","RAJAH MAS (IMO 5292593)","RAJAH MAS (IMO 5292593): ","Malaysia","Passenger","1997-02-18 00:00","","Very serious marine casualty","","Off Kuala Rajang, Malaysia","","0",""
"C0001792","1","ALBION TWO (IMO 7420534)","ALBION TWO (IMO 7420534): ","Cyprus","Bulk Dry","1997-02-18 00:00","","Very serious marine casualty","","40 nm W.S.W. of Ushant","","0",""
"C0004304","1","FINNO (IMO 7033331)","FINNO (IMO 7033331): ","Malta","General Cargo","1997-02-18 00:00","","Marine casualty","","","","0",""
"C0001787","1","AFRICAN STAR (IMO 6808313)","AFRICAN STAR (IMO 6808313): ","Panama","Refrigerated Cargo","1997-02-16 00:00","","Very serious marine casualty","","","","0",""
"C0001855","1","NIKA II (IMO 7324106)","NIKA II (IMO 7324106): ","Cyprus","General Cargo","1997-02-14 00:00","","Marine casualty","","Off Veracruz","","0",""
"C0001853","1","TENSHA MARU NO.8 (IMO 0      )","TENSHA MARU NO.8 (IMO 0      ): ","Japan","General Cargo","1997-02-13 00:00","","Marine casualty","","Himekawa, Japan","","0",""
"C0001826","2","A LA GARDE DE DIEU (IMO 0      ), CALEDONIAN PRINCE (IMO 8130289)","A LA GARDE DE DIEU (IMO 0      ): , CALEDONIAN PRINCE (IMO 8130289): ","France, Panama","Fish Catching, Bulk Dry","1997-02-13 00:00","","Marine casualty","","Off Boulogne","","0",""
"C0002163","1","TPAO (IMO 7395363)","TPAO (IMO 7395363): ","Türkiye","Oil Tanker","1997-02-13 00:00","","Very serious marine casualty","","Tuzla","","0",""
"C0001867","1","OVERSEAS VALDEZ (IMO 6814180)","OVERSEAS VALDEZ (IMO 6814180): ","United States","Oil Tanker","1997-02-12 00:00","","Marine casualty","","5 nm S.E. Galveston","","0",""
